trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	lor1	circle	4	0.27	1	3 	 2.7853160541549795 	 3 	 0.0	1.0	0.0	0	1	-1	-1	-0.0	-999	-999	1.7722 	2.8345 	3.8502 	-999	1.7977 	2.4934 	3.6494 	-999	2.0684 	2.8392 	4.1794 	-999	195
1	lor1	circle	4	0.49	-1	0 	 2.5523193255822587 	 3 	 3.0	1.0	0.0	2	-1	1	-1	-999	-999	2.0	1.7003 	2.3229 	3.6268 	-999	2.4596 	3.2812 	-999	-999	1.9285 	2.6317 	3.4931 	-999	192
2	lor1	circle	4	0.87	1	3 	 2.3761595293370936 	 2 	 1.0	2.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.2872 	3.7457 	-999	-999	2.1997 	3.6992 	-999	-999	2.1994 	3.3121 	-999	-999	184
3	lor1	circle	8	0.12	1	3 	 2.2343450427844926 	 3 	 4.0	3.0	5.0	1	1	-1	-1	-999	0.0	-999	1.6119 	2.9001 	-999	-999	1.5947 	2.3765 	-999	-999	2.4716 	-999	-999	-999	114
4	lor1	circle	4	0.27	-1	3 	 2.288353808865767 	 2 	 -999.0	1.0	1.0	2	-1	1	-1	-999	-999	0.0	2.4334 	-999	-999	-999	1.5356 	2.9536 	-999	-999	2.1807 	3.3318 	-999	-999	183
5	lor1	circle	8	0.31	-1	3 	 2.0615944436452023 	 3 	 7.0	5.0	7.0	1	-1	1	-1	-999	-0.0	-999	1.9905 	3.2109 	-999	-999	1.9303 	2.8634 	-999	-999	1.9803 	2.9591 	-999	-999	106
6	lor1	circle	8	0.4	-1	3 	 2.6379937398480826 	 3 	 5.0	5.0	3.0	1	-1	1	-1	-999	0.0	-999	1.798 	2.4766 	3.3825 	-999	1.9455 	2.5125 	3.5301 	-999	1.8157 	2.7144 	3.504 	-999	132
7	lor1	circle	8	0.31	1	3 	 2.049520359422454 	 3 	 3.0	1.0	7.0	2	1	-1	-1	-999	-999	-0.0	1.528 	2.3714 	-999	-999	2.1947 	-999	-999	-999	2.4656 	-999	-999	-999	104
8	lor1	circle	4	0.27	-1	3 	 2.4556366189607486 	 3 	 0.0	3.0	3.0	0	-1	1	-1	0.0	-999	-999	2.1549 	3.5519 	-999	-999	1.5467 	2.6174 	-999	-999	2.0296 	2.9223 	-999	-999	186
9	lor1	circle	4	0.15	1	3 	 2.2874475174075233 	 3 	 2.0	1.0	2.0	1	1	-1	-1	-999	0.0	-999	2.4639 	-999	-999	-999	1.6285 	3.0222 	-999	-999	1.7075 	3.1593 	-999	-999	176
