trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	lor3	circle	8	0.7	1	0 	 2.6844331456780894 	 2 	 5.0	3.0	-999.0	1	1	-1	-1	-999	1.0	-999	1.9947 	3.4454 	-999	-999	2.1329 	3.4942 	-999	-999	1.9731 	2.5983 	4.0672 	-999	140
1	lor3	circle	8	0.65	-1	3 	 2.58135096469168 	 3 	 6.0	7.0	4.0	0	-1	1	-1	0.0	-999	-999	2.479 	3.5292 	-999	-999	2.1021 	2.6724 	3.7129 	-999	2.2863 	2.9482 	-999	-999	133
2	lor3	circle	8	0.35	-1	3 	 2.300564438283523 	 3 	 2.0	5.0	6.0	0	-1	1	-1	0.0	-999	-999	1.5757 	2.2863 	3.4661 	-999	1.6844 	3.1038 	-999	-999	1.724 	3.0215 	-999	-999	118
3	lor3	circle	8	0.35	1	3 	 2.586131203463776 	 3 	 4.0	1.0	0.0	2	1	-1	-1	-999	-999	0.0	1.6382 	2.7446 	-999	-999	1.8611 	2.9488 	-999	-999	1.6845 	2.5882 	3.3972 	-999	136
4	lor3	circle	4	0.67	-1	3 	 2.318283857033121 	 2 	 1.0	2.0	-999.0	1	-1	1	-1	-999	-0.0	-999	2.1901 	3.6607 	-999	-999	2.1129 	2.7467 	-999	-999	1.8305 	3.254 	-999	-999	65
5	lor3	circle	4	0.72	-1	3 	 2.1367248799368506 	 3 	 0.0	2.0	0.0	0	-1	1	-1	-0.0	-999	-999	2.233 	3.6894 	-999	-999	1.5259 	2.9572 	-999	-999	1.6499 	3.0582 	-999	-999	58
6	lor3	circle	8	0.2	1	3 	 2.51720486144843 	 3 	 2.0	1.0	0.0	2	1	-1	-1	-999	-999	0.0	1.9466 	3.0996 	-999	-999	2.4172 	3.1898 	-999	-999	2.0747 	2.8788 	-999	-999	134
7	lor3	circle	4	0.38	1	3 	 2.1803352156987446 	 2 	 1.0	-999.0	1.0	0	1	-1	-1	0.0	-999	-999	2.4389 	-999	-999	-999	1.5844 	2.2548 	3.2519 	-999	1.9125 	3.0818 	-999	-999	60
8	lor3	circle	4	0.29	-1	0 	 2.0987150199305358 	 3 	 3.0	1.0	3.0	2	-1	1	-1	-999	-999	1.0	2.207 	-999	-999	-999	1.5991 	2.9006 	-999	-999	1.8963 	2.9529 	-999	-999	54
9	lor3	circle	4	0.29	1	3 	 2.019629093750029 	 3 	 2.0	2.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.8974 	3.2256 	-999	-999	1.6693 	2.5883 	-999	-999	1.6448 	2.3975 	-999	-999	57
10	lor3	circle	4	0.5	1	0 	 2.3537477185088744 	 3 	 3.0	0.0	2.0	1	1	-1	-1	-999	-1.0	-999	1.9078 	2.6229 	-999	-999	2.256 	3.3404 	-999	-999	1.7825 	2.4305 	3.4563 	-999	64
11	lor3	circle	8	0.65	1	3 	 2.7374043615852734 	 3 	 0.0	7.0	2.0	1	1	-1	-1	-999	0.0	-999	1.7174 	2.4697 	3.5265 	-999	1.915 	2.7666 	3.7582 	-999	2.3224 	3.6391 	-999	-999	146
12	lor3	circle	8	0.5	-1	0 	 2.2756949156122492 	 3 	 5.0	6.0	7.0	2	-1	1	-1	-999	-999	-2.0	1.9938 	3.3747 	-999	-999	2.0993 	3.18 	-999	-999	2.0237 	3.1348 	-999	-999	121
13	lor3	circle	4	0.5	-1	0 	 2.553350198225526 	 3 	 3.0	3.0	3.0	1	-1	1	-1	-999	-1.0	-999	1.6331 	2.1655 	3.3726 	-999	2.3663 	3.3709 	-999	-999	1.6249 	2.417 	3.1777 	-999	72
14	lor3	circle	4	0.94	-1	0 	 2.7456657711259145 	 3 	 1.0	1.0	1.0	2	-1	1	-1	-999	-999	2.0	2.0054 	2.5087 	3.067 	-999	2.3537 	3.2688 	-999	-999	1.82 	3.1894 	-999	-999	76
15	lor3	circle	8	0.28	-1	3 	 2.468643254741068 	 2 	 -999.0	3.0	1.0	2	-1	1	-1	-999	-999	0.0	2.2143 	2.7665 	-999	-999	2.0054 	2.5334 	3.5618 	-999	2.154 	3.3924 	-999	-999	131
16	lor3	circle	8	0.91	-1	3 	 2.2178301739537014 	 2 	 7.0	6.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.2233 	3.4277 	-999	-999	1.9705 	2.7313 	-999	-999	2.4449 	-999	-999	-999	118
17	lor3	circle	4	0.96	1	3 	 2.727881082409398 	 2 	 -999.0	3.0	2.0	1	1	-1	-1	-999	0.0	-999	2.271 	3.0548 	-999	-999	1.8494 	2.9255 	-999	-999	2.3985 	3.8629 	-999	-999	75
18	lor3	circle	4	1.25	-1	3 	 2.111962000929609 	 2 	 -999.0	1.0	2.0	1	-1	1	-1	-999	0.0	-999	2.1844 	3.2535 	-999	-999	2.1453 	3.5783 	-999	-999	2.1697 	3.2522 	-999	-999	57
