trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	jia2	circle	4	0.5	-1	3 	 2.5877709410770726 	 3 	 0.0	1.0	1.0	1	-1	1	-1	-999	-0.0	-999	2.3904 	3.4729 	-999	-999	1.9372 	3.1672 	-999	-999	1.5203 	2.8692 	-999	-999	73
1	jia2	circle	8	0.2	-1	3 	 2.4046428641492694 	 3 	 6.0	0.0	3.0	2	-1	1	-1	-999	-999	0.0	2.2448 	3.1927 	-999	-999	2.1178 	3.4477 	-999	-999	1.7116 	3.1419 	-999	-999	129
2	jia2	circle	8	0.35	1	3 	 2.2504238175346054 	 3 	 4.0	2.0	0.0	2	1	-1	-1	-999	-999	-0.0	2.3192 	3.1855 	-999	-999	2.1074 	3.5297 	-999	-999	2.427 	-999	-999	-999	120
3	jia2	circle	4	0.67	-1	3 	 2.4878679544741336 	 2 	 0.0	-999.0	3.0	0	-1	1	-1	0.0	-999	-999	1.7133 	2.5301 	3.5943 	-999	2.1336 	3.2242 	-999	-999	2.3992 	3.7939 	-999	-999	69
4	jia2	circle	8	0.7	-1	3 	 2.149322897014852 	 2 	 7.0	-999.0	7.0	0	-1	1	-1	0.0	-999	-999	1.7907 	2.6303 	-999	-999	2.4979 	-999	-999	-999	2.4141 	-999	-999	-999	115
5	jia2	circle	4	0.96	-1	3 	 2.3983935373111906 	 2 	 -999.0	0.0	2.0	2	-1	1	-1	-999	-999	-0.0	2.3878 	3.0057 	-999	-999	1.7512 	2.2746 	2.8225 	-999	1.7064 	2.2825 	3.4435 	-999	66
6	jia2	circle	4	0.96	1	0 	 2.035155588808432 	 2 	 2.0	3.0	2.0	1	1	-1	-1	-999	1.0	-999	2.1738 	-999	-999	-999	2.431 	-999	-999	-999	2.3345 	-999	-999	-999	58
7	jia2	circle	8	0.2	1	3 	 2.608094233416337 	 3 	 0.0	0.0	6.0	2	1	-1	-1	-999	-999	0.0	1.7736 	3.0962 	-999	-999	2.0641 	3.4577 	-999	-999	2.4341 	3.611 	-999	-999	140
8	jia2	circle	4	0.5	1	0 	 2.0501315795526387 	 3 	 3.0	3.0	2.0	1	1	-1	-1	-999	-999	-999	2.4452 	-999	-999	-999	2.4387 	-999	-999	-999	2.0451 	2.8932 	-999	-999	56
