trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	jia3	circle	4	0.37	1	3 	 2.0208758047893096 	 3 	 3.0	1.0	0.0	1	1	-1	-1	-999	0.0	-999	2.0154 	3.345 	-999	-999	1.7974 	2.8979 	-999	-999	2.4233 	-999	-999	-999	63
1	jia3	circle	4	0.45	-1	3 	 2.155547670958555 	 2 	 0.0	-999.0	1.0	2	-1	1	-1	-999	-999	0.0	1.614 	2.2874 	-999	-999	1.5309 	2.3317 	-999	-999	1.6682 	2.5706 	-999	-999	69
2	jia3	circle	8	0.14	-1	3 	 2.2593945917433906 	 3 	 3.0	3.0	4.0	1	-1	1	-1	-999	-0.0	-999	1.5873 	2.1964 	3.4794 	-999	1.5145 	2.7916 	-999	-999	1.8539 	2.716 	-999	-999	120
3	jia3	circle	8	0.29	-1	3 	 2.537317535883044 	 2 	 -999.0	1.0	2.0	1	-1	1	-1	-999	-0.0	-999	1.6636 	2.8231 	-999	-999	1.5417 	2.5398 	3.7655 	-999	1.6176 	2.8151 	-999	-999	137
4	jia3	circle	8	0.17	-1	3 	 2.0325768851385986 	 2 	 6.0	-999.0	0.0	0	-1	1	-1	0.0	-999	-999	1.6536 	2.8945 	-999	-999	2.1176 	3.5592 	-999	-999	2.3891 	-999	-999	-999	109
5	jia3	circle	4	0.26	-1	3 	 2.703295315935612 	 2 	 0.0	0.0	-999.0	0	-1	1	-1	0.0	-999	-999	1.8127 	3.1035 	-999	-999	2.4797 	3.7294 	-999	-999	1.5386 	2.9967 	-999	-999	94
6	jia3	circle	4	0.37	-1	3 	 2.6336759975534827 	 3 	 2.0	1.0	1.0	1	-1	1	-1	-999	-0.0	-999	1.7305 	2.6591 	3.3191 	-999	2.2698 	2.7763 	-999	-999	2.1876 	3.4537 	-999	-999	91
7	jia3	circle	4	0.85	1	3 	 2.5028472073811634 	 2 	 -999.0	2.0	2.0	2	1	-1	-1	-999	-999	-0.0	2.4431 	3.7338 	-999	-999	1.9901 	3.1254 	-999	-999	1.5244 	2.2059 	3.3111 	-999	83
8	jia3	circle	4	0.26	1	3 	 2.381132480691338 	 3 	 1.0	1.0	2.0	1	1	-1	-1	-999	0.0	-999	1.5818 	2.6677 	-999	-999	1.6512 	2.8373 	-999	-999	2.3088 	3.5397 	-999	-999	77
9	jia3	circle	8	0.55	-1	3 	 2.701041306178098 	 2 	 1.0	-999.0	6.0	2	-1	1	-1	-999	-999	0.0	2.2493 	3.589 	-999	-999	1.8769 	3.1573 	-999	-999	1.8043 	3.239 	-999	-999	146
