trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
51	lor2	circle	8	0.39	-1	0 	 2.127282828997945 	 2 	 4.0	3.0	2.0	2	-1	1	-1	-999	-999	-3.0	2.1086 	2.9305 	-999	-999	1.9365 	2.5202 	-999	-999	2.4448 	-999	-999	-999	115
52	lor2	circle	4	0.38	-1	3 	 2.494078885197193 	 3 	 1.0	2.0	2.0	0	-1	1	-1	0.0	-999	-999	1.9494 	2.8117 	-999	-999	2.3973 	3.5673 	-999	-999	2.4751 	3.7663 	-999	-999	82
53	lor2	circle	8	0.22	-1	3 	 2.788111331217493 	 3 	 4.0	4.0	5.0	1	-1	1	-1	-999	-0.0	-999	2.0501 	3.2157 	-999	-999	1.9681 	3.0377 	-999	-999	2.4892 	3.2468 	-999	-999	147
54	lor2	circle	4	0.87	1	3 	 2.1325270797123004 	 2 	 1.0	2.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.125 	2.9072 	-999	-999	2.1831 	2.7859 	-999	-999	2.2904 	-999	-999	-999	61
55	lor2	circle	4	0.72	1	0 	 2.537536734961398 	 3 	 0.0	0.0	1.0	0	1	-1	-1	-1.0	-999	-999	1.5642 	2.4299 	3.0819 	-999	2.1684 	2.7403 	-999	-999	2.0088 	2.9463 	-999	-999	73
56	lor2	circle	4	0.55	-1	3 	 2.353165310408083 	 3 	 3.0	2.0	0.0	1	-1	1	-1	-999	-0.0	-999	1.6873 	2.535 	-999	-999	1.5088 	2.7749 	-999	-999	2.1679 	3.3263 	-999	-999	68
57	lor2	circle	4	0.38	1	3 	 2.6702560776829025 	 3 	 3.0	1.0	3.0	0	1	-1	-1	0.0	-999	-999	1.5089 	2.6515 	3.1537 	-999	2.0322 	2.6527 	3.1848 	-999	2.2288 	3.418 	-999	-999	75
58	lor2	circle	8	0.16	1	3 	 2.279617160621715 	 2 	 5.0	6.0	7.0	0	1	-1	-1	-0.0	-999	-999	2.151 	3.1243 	-999	-999	2.3777 	2.9998 	-999	-999	2.1532 	2.8836 	-999	-999	125
59	lor2	circle	8	0.12	-1	3 	 2.029837171950105 	 3 	 6.0	6.0	0.0	0	-1	1	-1	0.0	-999	-999	1.894 	2.678 	-999	-999	1.7302 	2.4484 	-999	-999	1.5994 	2.8075 	-999	-999	110
60	lor2	circle	4	0.55	1	3 	 2.221083174360722 	 3 	 2.0	3.0	0.0	1	1	-1	-1	-999	0.0	-999	1.7782 	3.2293 	-999	-999	1.8812 	2.8101 	-999	-999	2.3329 	-999	-999	-999	62
61	lor2	circle	8	0.31	1	3 	 2.730850571438732 	 3 	 7.0	6.0	5.0	1	1	-1	-1	-999	0.0	-999	2.1079 	3.0496 	-999	-999	2.269 	3.6262 	-999	-999	2.3233 	2.8361 	-999	-999	150
