trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	A14c	circle	8	0.4	1	3 	 2.913949015820772 	 3 	 4.0	0.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.1844 	3.3333 	-999	-999	2.3211 	2.9092 	4.1973 	-999	1.8295 	2.8468 	3.8109 	-999	154
1	A14c	circle	8	0.64	1	3 	 2.810327884076869 	 3 	 5.0	1.0	3.0	2	1	-1	-1	-999	-999	0.0	2.091 	3.0149 	-999	-999	1.7149 	2.6514 	3.6047 	-999	1.8885 	2.8277 	3.9812 	-999	149
2	A14c	circle	4	0.44	-1	3 	 2.9364460029394235 	 3 	 1.0	3.0	3.0	2	-1	1	-1	-999	-999	0.0	1.7611 	2.4849 	3.0553 	-999	1.8765 	2.9325 	3.5461 	-999	2.1003 	3.4484 	-999	-999	81
3	A14c	circle	4	0.62	1	3 	 2.3580163490248025 	 2 	 1.0	3.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.1367 	3.0976 	-999	-999	2.6923 	-999	-999	-999	2.5229 	-999	-999	-999	64
4	A14c	circle	4	1.14	-1	0 	 2.706980587053097 	 2 	 0.0	0.0	-999.0	1	-1	1	-1	-999	1.0	-999	2.3225 	3.1951 	-999	-999	2.459 	3.5261 	-999	-999	2.2287 	3.372 	-999	-999	63
5	A14c	circle	8	0.23	1	3 	 2.874656684454783 	 2 	 -999.0	2.0	2.0	1	1	-1	-1	-999	0.0	-999	2.6839 	3.2124 	-999	-999	2.3135 	2.9125 	3.9674 	-999	1.7636 	3.2131 	-999	-999	154
6	A14c	circle	4	0.44	1	3 	 2.7410956838476466 	 3 	 3.0	2.0	3.0	2	1	-1	-1	-999	-999	0.0	2.3894 	3.5781 	-999	-999	1.7406 	2.4052 	3.766 	-999	2.246 	3.0599 	-999	-999	69
7	A14c	circle	8	0.16	-1	3 	 2.266238429695683 	 3 	 2.0	4.0	2.0	2	-1	1	-1	-999	-999	0.0	1.8044 	2.9126 	-999	-999	2.5137 	-999	-999	-999	2.1675 	2.9993 	-999	-999	118
8	A14c	circle	8	0.52	-1	3 	 2.234088508715152 	 3 	 0.0	7.0	5.0	1	-1	1	-1	-999	0.0	-999	2.0928 	2.8993 	-999	-999	2.4417 	-999	-999	-999	2.6148 	-999	-999	-999	114
9	A14c	circle	4	0.88	-1	3 	 2.4269040807249986 	 2 	 1.0	2.0	-999.0	1	-1	1	-1	-999	0.0	-999	1.8426 	2.8792 	-999	-999	2.6643 	-999	-999	-999	1.9228 	3.348 	-999	-999	64
