trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
0	A12b	circle	4	0.29	-1	3 	 2.5247314154993417 	 2 	 0.0	-999.0	3.0	0	-1	1	-1	0.0	-999	-999	2.1716 	2.964 	-999	-999	1.6081 	2.2936 	3.4585 	-999	1.7062 	3.0955 	-999	-999	68
1	A12b	circle	4	0.23	-1	3 	 2.606641344862198 	 3 	 3.0	0.0	3.0	0	-1	1	-1	0.0	-999	-999	1.7347 	2.8513 	-999	-999	2.2443 	3.3664 	-999	-999	1.9585 	2.4714 	3.0491 	-999	73
2	A12b	circle	8	0.16	1	3 	 2.2783293415764994 	 3 	 5.0	2.0	6.0	0	1	-1	-1	-0.0	-999	-999	2.0439 	2.5922 	-999	-999	1.7595 	2.4282 	-999	-999	1.8684 	2.5466 	-999	-999	122
3	A12b	circle	4	0.73	-1	3 	 2.3836538896872934 	 2 	 -999.0	1.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.3775 	3.2253 	-999	-999	1.955 	3.2947 	-999	-999	1.776 	2.8304 	-999	-999	68
4	A12b	circle	4	0.75	1	3 	 2.255835029485642 	 3 	 1.0	2.0	2.0	1	1	-1	-1	-999	-0.0	-999	1.5506 	2.4674 	-999	-999	2.4694 	-999	-999	-999	1.5041 	2.8077 	-999	-999	65
5	A12b	circle	4	0.23	1	3 	 2.6157469797927773 	 3 	 0.0	3.0	1.0	0	1	-1	-1	-0.0	-999	-999	1.7144 	3.1392 	-999	-999	2.3521 	3.0376 	-999	-999	1.9907 	2.7154 	3.3196 	-999	74
6	A12b	circle	4	0.41	-1	3 	 2.134448798911567 	 3 	 3.0	0.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.3834 	-999	-999	-999	1.5894 	2.4406 	-999	-999	1.9524 	3.13 	-999	-999	57
7	A12b	circle	4	0.95	1	3 	 2.4500516162270367 	 2 	 0.0	-999.0	2.0	2	1	-1	-1	-999	-999	0.0	2.2685 	3.6215 	-999	-999	2.3447 	3.5233 	-999	-999	2.0028 	2.7856 	-999	-999	69
8	A12b	circle	4	0.75	-1	3 	 2.0220360818283747 	 3 	 3.0	3.0	1.0	2	-1	1	-1	-999	-999	0.0	1.6614 	2.8183 	-999	-999	1.8481 	2.5472 	-999	-999	1.6081 	2.9264 	-999	-999	54
9	A12b	circle	8	0.29	1	3 	 2.1761848002892306 	 2 	 2.0	-999.0	0.0	2	1	-1	-1	-999	-999	-0.0	2.2543 	3.1387 	-999	-999	2.403 	-999	-999	-999	2.4106 	-999	-999	-999	115
10	A12b	circle	8	0.29	-1	3 	 2.0535278357653697 	 2 	 2.0	2.0	4.0	1	-1	1	-1	-999	-0.0	-999	2.3827 	-999	-999	-999	1.5663 	2.7083 	-999	-999	2.3844 	-999	-999	-999	110
11	A12b	circle	8	0.55	-1	3 	 2.2847989576262147 	 2 	 -999.0	1.0	4.0	1	-1	1	-1	-999	-0.0	-999	1.5566 	2.8872 	-999	-999	1.7983 	2.6945 	-999	-999	2.2797 	3.1539 	-999	-999	120
12	A12b	circle	4	0.58	-1	3 	 2.1462943875410243 	 3 	 1.0	0.0	2.0	0	-1	1	-1	-0.0	-999	-999	2.451 	-999	-999	-999	1.7998 	3.1477 	-999	-999	2.0494 	2.9502 	-999	-999	59
13	A12b	circle	8	0.28	1	3 	 2.675121083818448 	 3 	 4.0	6.0	2.0	2	1	-1	-1	-999	-999	-0.0	2.0557 	2.7894 	-999	-999	2.2192 	2.9805 	-999	-999	1.7982 	2.4402 	3.476 	-999	143
14	A12b	circle	4	0.41	1	3 	 2.4403572815764267 	 3 	 2.0	1.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.9897 	2.5294 	3.2894 	-999	1.7168 	2.7309 	-999	-999	2.0909 	2.6967 	-999	-999	67
15	A12b	circle	4	0.95	-1	3 	 2.008108632992887 	 2 	 1.0	3.0	2.0	0	-1	1	-1	0.0	-999	-999	1.8169 	2.941 	-999	-999	2.3128 	-999	-999	-999	1.5424 	2.1612 	-999	-999	54
