trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
82	M13c	circle	4	0.19	-1	3 	 2.490808978866106 	 2 	 2.0	3.0	1.0	2	-1	1	-1	-999	-999	0.0	2.6541 	-999	-999	-999	2.5025 	3.6333 	-999	-999	1.9582 	3.1797 	-999	-999	68
83	M13c	circle	4	0.75	-1	3 	 2.386919160034772 	 3 	 0.0	2.0	3.0	2	-1	1	-1	-999	-999	0.0	1.8595 	2.572 	-999	-999	2.0754 	2.8523 	-999	-999	2.3659 	3.3954 	-999	-999	69
84	M13c	circle	4	0.48	1	0 	 2.7770581427532774 	 2 	 3.0	3.0	3.0	2	1	-1	-1	-999	-999	-1.0	2.0028 	2.6313 	3.5802 	-999	2.1166 	3.3376 	-999	-999	1.9942 	3.2281 	-999	-999	74
85	M13c	circle	4	0.33	1	3 	 2.395659661701927 	 3 	 2.0	3.0	0.0	2	1	-1	-1	-999	-999	0.0	2.0549 	2.6802 	-999	-999	2.6668 	-999	-999	-999	1.8626 	2.8656 	-999	-999	66
86	M13c	circle	8	0.72	1	0 	 2.787649108196041 	 2 	 3.0	7.0	6.0	0	1	-1	-1	4.0	-999	-999	1.8961 	2.7101 	3.4025 	-999	1.9856 	3.4222 	-999	-999	1.7717 	2.9111 	-999	-999	147
87	M13c	circle	4	0.19	1	3 	 2.8340742482280206 	 3 	 2.0	3.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.6571 	4.0323 	-999	-999	2.3462 	3.0215 	-999	-999	2.6824 	4.0096 	-999	-999	75
88	M13c	circle	4	0.61	-1	3 	 2.4328931967972665 	 3 	 0.0	2.0	0.0	0	-1	1	-1	0.0	-999	-999	1.9459 	2.6034 	-999	-999	2.1905 	3.572 	-999	-999	1.8769 	3.3707 	-999	-999	66
89	M13c	circle	8	0.42	-1	0 	 2.490651945182245 	 3 	 4.0	4.0	7.0	1	-1	1	-1	-999	1.0	-999	2.48 	3.3827 	-999	-999	2.1151 	3.2584 	-999	-999	2.1424 	3.5596 	-999	-999	129
90	M13c	circle	4	0.34	-1	3 	 2.502550896938979 	 2 	 2.0	3.0	1.0	2	-1	1	-1	-999	-999	0.0	2.4681 	3.1013 	-999	-999	1.9292 	2.7769 	-999	-999	2.2725 	3.6768 	-999	-999	65
91	M13c	circle	8	0.51	1	0 	 2.3850994034016013 	 3 	 1.0	2.0	5.0	0	1	-1	-1	-1.0	-999	-999	2.6736 	-999	-999	-999	2.3184 	3.1988 	-999	-999	2.5219 	-999	-999	-999	124
92	M13c	circle	4	0.47	1	3 	 2.3612277956181824 	 3 	 2.0	2.0	1.0	1	1	-1	-1	-999	0.0	-999	2.222 	3.3854 	-999	-999	1.7218 	2.454 	3.1964 	-999	2.4119 	3.0896 	-999	-999	63
93	M13c	circle	4	0.75	1	3 	 2.7866237548853925 	 3 	 1.0	3.0	0.0	2	1	-1	-1	-999	-999	0.0	2.6788 	4.0034 	-999	-999	1.9716 	3.214 	-999	-999	2.0138 	2.8365 	3.827 	-999	79
94	M13c	circle	8	0.13	-1	3 	 2.6533990686895748 	 3 	 6.0	5.0	6.0	0	-1	1	-1	-0.0	-999	-999	2.6558 	3.5572 	-999	-999	2.417 	3.7355 	-999	-999	1.7613 	3.046 	-999	-999	138
95	M13c	circle	8	0.22	1	0 	 2.443647605107073 	 3 	 5.0	1.0	4.0	2	1	-1	-1	-999	-999	1.0	2.0226 	2.6777 	-999	-999	1.8813 	3.0246 	-999	-999	1.9725 	3.1246 	-999	-999	127
96	M13c	circle	4	0.33	-1	3 	 2.4360678126088056 	 3 	 0.0	1.0	1.0	1	-1	1	-1	-999	-0.0	-999	2.498 	3.8035 	-999	-999	1.7473 	2.5378 	-999	-999	2.0233 	3.5134 	-999	-999	68
97	M13c	circle	8	0.59	-1	3 	 2.6209509201380548 	 2 	 3.0	1.0	3.0	0	-1	1	-1	0.0	-999	-999	2.4844 	3.0696 	-999	-999	2.0442 	2.8908 	-999	-999	2.0038 	2.9313 	-999	-999	136
98	M13c	circle	8	0.45	-1	3 	 2.3099881172675 	 2 	 7.0	3.0	4.0	1	-1	1	-1	-999	-0.0	-999	1.7092 	2.2828 	3.729 	-999	1.8425 	3.3097 	-999	-999	1.8011 	2.8743 	-999	-999	119
99	M13c	circle	8	0.32	1	3 	 2.4599445606871027 	 3 	 4.0	4.0	1.0	2	1	-1	-1	-999	-999	-0.0	2.3348 	3.6689 	-999	-999	2.1038 	2.8308 	-999	-999	2.5349 	3.3389 	-999	-999	128
100	M13c	circle	8	0.72	-1	0 	 2.2760984836379974 	 2 	 0.0	5.0	6.0	0	-1	1	-1	-4.0	-999	-999	2.3773 	-999	-999	-999	2.6646 	-999	-999	-999	2.6639 	-999	-999	-999	117
101	M13c	circle	8	0.32	-1	3 	 2.759419754414542 	 3 	 5.0	7.0	0.0	2	-1	1	-1	-999	-999	0.0	2.6484 	3.3863 	-999	-999	1.9917 	2.8317 	3.3323 	-999	1.9826 	2.8768 	-999	-999	144
102	M13c	circle	8	0.51	-1	0 	 2.4125711261900027 	 3 	 0.0	1.0	4.0	0	-1	1	-1	1.0	-999	-999	2.2901 	2.8456 	-999	-999	2.5757 	-999	-999	-999	2.4872 	3.0352 	-999	-999	126
