trialnum	subject	basicShape	numObjects	speed	initialDirRing0	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	Direction0	Direction1	Direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev1_0	rev1_1	rev1_2	rev1_3	rev2_0	rev2_1	rev2_2	rev2_3	timingBlips
56	M13a	circle	8	0.32	1	3 	 2.9284193756751598 	 3 	 2.0	4.0	0.0	0	1	-1	-1	-0.0	-999	-999	2.0352 	3.3016 	-999	-999	2.0668 	3.2171 	-999	-999	2.0894 	2.7896 	4.2774 	-999	156
57	M13a	circle	4	0.19	1	3 	 2.382838139544773 	 3 	 1.0	3.0	2.0	0	1	-1	-1	-0.0	-999	-999	2.1743 	3.5736 	-999	-999	2.4213 	3.716 	-999	-999	2.2321 	3.423 	-999	-999	70
58	M13a	circle	4	0.19	-1	3 	 2.8085919376858346 	 3 	 1.0	0.0	1.0	0	-1	1	-1	0.0	-999	-999	2.2502 	3.1776 	-999	-999	2.6614 	3.1676 	-999	-999	2.0886 	3.3772 	-999	-999	86
59	M13a	circle	4	0.19	1	3 	 2.8344742834243384 	 2 	 3.0	0.0	1.0	0	1	-1	-1	-0.0	-999	-999	2.5396 	3.0681 	-999	-999	2.1015 	3.0589 	-999	-999	1.8669 	2.6606 	3.3017 	-999	81
60	M13a	circle	4	0.77	-1	0 	 2.304391142614421 	 2 	 3.0	3.0	0.0	1	-1	1	-1	-999	-1.0	-999	2.3627 	2.8896 	-999	-999	1.8791 	3.2299 	-999	-999	2.1499 	3.6327 	-999	-999	64
61	M13a	circle	4	0.75	-1	3 	 2.7980530222372244 	 3 	 1.0	3.0	3.0	1	-1	1	-1	-999	-0.0	-999	2.341 	3.5985 	-999	-999	2.0224 	3.1449 	-999	-999	2.6492 	3.7387 	-999	-999	81
62	M13a	circle	8	0.32	1	3 	 2.7170542392875374 	 2 	 4.0	4.0	1.0	2	1	-1	-1	-999	-999	0.0	2.4409 	3.7006 	-999	-999	2.1161 	3.5733 	-999	-999	1.9677 	2.952 	-999	-999	143
63	M13a	circle	8	0.18	-1	0 	 2.9494569715338725 	 2 	 0.0	6.0	2.0	2	-1	1	-1	-999	-999	-2.0	2.4769 	3.3105 	-999	-999	2.3923 	3.1566 	-999	-999	1.7353 	2.9729 	3.6646 	-999	158
64	M13a	circle	8	0.18	1	3 	 2.7828841077151236 	 2 	 0.0	2.0	7.0	1	1	-1	-1	-999	0.0	-999	2.3865 	3.1827 	-999	-999	2.4865 	3.1895 	-999	-999	2.5611 	3.5279 	-999	-999	149
65	M13a	circle	4	0.47	-1	0 	 2.36060187045596 	 3 	 3.0	2.0	1.0	2	-1	1	-1	-999	-999	1.0	2.369 	3.4729 	-999	-999	2.4548 	3.1563 	-999	-999	2.3314 	3.3739 	-999	-999	70
